Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs,Season,Demand Factor
haircare,SKU63,24.42,20,16,390.72,Unknown,11,13,4,10,Carrier B,21.04,Supplier 2,Bangalore,13,668,19,42.72,Pending,3.436,Road,Route C,473.22,Spring,1.0479044706274567
skincare,SKU91,67.78,13,2,135.56,Male,11,12,12,3,Carrier C,49.35,Supplier 2,Delhi,12,988,19,35.69,Pass,1.865,Air,Route C,186.77,Winter,1.3121718157176674
haircare,SKU37,43.99,58,9,395.91,Unknown,40,18,36,4,Carrier E,21.88,Supplier 1,Delhi,18,513,17,43.86,Pass,1.678,Rail,Route A,190.77,Fall,0.965368855813594
haircare,SKU78,45.03,35,34,1531.02,Non-binary,29,16,22,5,Carrier A,6.47,Supplier 1,Bangalore,16,748,10,46.37,Pass,1.244,Road,Route A,336.95,Summer,1.447305001096181
skincare,SKU57,87.01,17,1,87.01,Non-binary,13,19,15,9,Carrier A,43.89,Supplier 3,Bangalore,19,264,17,46.73,Pending,2.702,Road,Route C,309.69,Summer,1.3852846436026403
skincare,SKU63,96.02,174,156,14979.12,Female,146,26,10,4,Carrier C,41.13,Supplier 1,Delhi,26,491,19,38.24,Pass,1.653,Air,Route A,473.38,Fall,0.9818559768842436
skincare,SKU35,21.16,176,4,84.64,Unknown,159,9,36,5,Carrier D,27.55,Supplier 3,Bangalore,9,272,15,36.82,Fail,4.753,Rail,Route A,172.31,Winter,1.4666947533429342
skincare,SKU45,69.3,23,22,1524.6,Unknown,23,29,4,5,Carrier D,19.05,Supplier 2,Delhi,29,165,9,10.55,Pending,4.903,Rail,Route A,114.52,Winter,1.2160222271378203
haircare,SKU10,45.25,98,47,2126.75,Female,63,21,45,4,Carrier E,41.97,Supplier 2,Delhi,21,844,20,30.91,Pending,2.514,Rail,Route A,461.95,Summer,1.5399449523567454
haircare,SKU34,41.09,86,81,3328.29,Male,10,9,24,4,Carrier C,58.93,Supplier 3,Delhi,9,371,6,11.39,Fail,2.951,Air,Route C,386.79,Spring,0.9743254039176545
skincare,SKU42,47.05,53,45,2117.25,Unknown,37,18,12,1,Carrier C,30.01,Supplier 2,Mumbai,18,175,13,14.89,Pending,2.447,Air,Route B,174.26,Spring,1.0020338029754177
haircare,SKU95,36.68,109,69,2530.92,Male,65,17,45,10,Carrier A,31.87,Supplier 2,Bangalore,17,392,19,17.66,Pass,0.345,Road,Route A,319.89,Fall,1.1997452298130709
haircare,SKU33,25.0,160,13,325.0,Non-binary,157,19,15,5,Carrier E,6.84,Supplier 3,Bangalore,19,607,18,11.38,Pending,3.54,Rail,Route B,442.86,Winter,1.4076539795459806
haircare,SKU58,38.91,66,56,2178.96,Female,49,7,26,3,Carrier E,13.74,Supplier 1,Mumbai,7,338,13,28.82,Pending,3.122,Rail,Route C,162.29,Fall,1.0722854395679533
skincare,SKU83,41.85,89,76,3180.6,Non-binary,18,10,15,5,Carrier C,93.51,Supplier 3,Mumbai,10,999,9,48.02,Pass,1.203,Air,Route B,122.69,Fall,1.1061295677634573
haircare,SKU62,43.76,198,118,5163.68,Female,22,28,32,3,Carrier E,18.62,Supplier 2,Delhi,28,209,13,14.09,Pass,1.787,Rail,Route C,122.25,Summer,1.4577095408293443
haircare,SKU85,43.97,184,26,1143.22,Non-binary,122,17,29,1,Carrier C,75.11,Supplier 2,Delhi,17,406,18,26.14,Fail,2.88,Air,Route A,364.31,Summer,1.4768365220803237
haircare,SKU73,41.72,128,81,3379.32,Non-binary,50,13,34,6,Carrier E,49.11,Supplier 1,Bangalore,13,923,13,24.0,Pass,1.426,Rail,Route B,465.37,Summer,1.3143116385587323
haircare,SKU3,25.89,33,19,491.91,Female,26,29,32,3,Carrier C,43.49,Supplier 3,Delhi,29,716,6,24.41,Pending,2.786,Air,Route A,483.62,Winter,1.3467683275846438
skincare,SKU94,29.21,78,38,1109.98,Non-binary,39,28,11,6,Carrier D,15.59,Supplier 3,Mumbai,28,651,16,16.75,Pass,0.232,Rail,Route C,175.03,Summer,1.315446529039388
skincare,SKU21,33.45,24,1,33.45,Unknown,13,29,2,5,Carrier C,28.29,Supplier 3,Delhi,29,737,14,29.25,Pending,3.967,Air,Route C,213.96,Spring,0.8295888414792366
haircare,SKU16,16.14,37,8,129.12,Female,14,18,24,6,Carrier E,8.94,Supplier 1,Bangalore,18,560,15,15.68,Fail,2.302,Rail,Route A,290.54,Winter,1.341345707324563
skincare,SKU33,80.45,171,139,11182.55,Non-binary,138,9,36,1,Carrier C,38.15,Supplier 1,Mumbai,9,866,10,39.68,Pending,4.177,Air,Route B,123.12,Fall,0.9159974054203928
skincare,SKU40,82.13,83,74,6077.62,Unknown,32,8,32,7,Carrier A,16.21,Supplier 3,Mumbai,8,978,5,36.69,Pending,3.773,Road,Route B,272.36,Fall,1.0889512576326825
haircare,SKU30,39.9,97,73,2912.7,Female,95,9,29,7,Carrier E,10.24,Supplier 2,Bangalore,9,517,20,40.74,Pass,1.676,Rail,Route A,205.33,Summer,1.5608376020578034
skincare,SKU77,39.78,139,73,2903.94,Unknown,24,17,2,1,Carrier C,87.4,Supplier 3,Delhi,17,930,16,14.97,Pending,2.136,Air,Route A,130.42,Summer,1.3073158520009642
haircare,SKU52,29.08,142,134,3896.72,Non-binary,42,13,19,10,Carrier B,24.05,Supplier 3,Bangalore,13,507,8,38.02,Fail,2.356,Road,Route A,476.94,Fall,1.0574309134731592
haircare,SKU2,10.63,164,133,1413.79,Female,116,21,31,5,Carrier C,13.39,Supplier 3,Mumbai,21,533,8,33.95,Fail,3.437,Air,Route C,406.47,Spring,0.8703326372993808
skincare,SKU63,67.0,78,13,871.0,Non-binary,51,11,48,6,Carrier B,18.11,Supplier 1,Mumbai,11,527,11,39.29,Pending,4.487,Road,Route A,172.14,Spring,0.8283662288955567
haircare,SKU44,31.01,18,15,465.15,Unknown,16,28,8,8,Carrier B,13.86,Supplier 2,Bangalore,28,155,7,37.61,Fail,2.691,Road,Route C,107.59,Fall,0.9633456565129608
skincare,SKU2,92.7,170,31,2873.7,Female,139,23,44,5,Carrier C,69.67,Supplier 3,Bangalore,23,732,11,48.37,Pending,4.354,Air,Route C,373.01,Fall,1.057953483228049
haircare,SKU44,48.27,80,11,530.97,Non-binary,42,21,22,7,Carrier D,31.54,Supplier 1,Delhi,21,288,10,15.83,Pending,3.841,Rail,Route B,202.56,Summer,1.5217546284089571
skincare,SKU96,21.17,149,88,1862.96,Non-binary,137,21,22,5,Carrier E,39.91,Supplier 2,Delhi,21,478,8,18.71,Fail,4.696,Rail,Route B,488.9,Fall,0.9512794609873328
haircare,SKU3,38.18,167,84,3207.12,Female,71,19,43,4,Carrier C,25.23,Supplier 3,Mumbai,19,149,5,26.27,Pending,3.194,Air,Route C,392.13,Fall,0.9599149824219887
skincare,SKU76,48.09,59,55,2644.95,Male,48,29,20,6,Carrier E,32.18,Supplier 3,Mumbai,29,706,9,15.39,Pending,2.695,Rail,Route C,275.91,Winter,1.4188071457132665
skincare,SKU23,42.8,70,35,1498.0,Unknown,57,26,19,8,Carrier A,41.92,Supplier 3,Bangalore,26,878,6,20.71,Pending,2.095,Road,Route C,330.14,Fall,1.0351795678463374
haircare,SKU5,40.79,15,11,448.69,Non-binary,12,25,13,3,Carrier C,62.49,Supplier 2,Mumbai,25,242,18,25.86,Pending,3.337,Air,Route B,367.84,Summer,1.3710063917155209
skincare,SKU73,83.95,168,46,3861.7,Male,132,24,31,5,Carrier C,85.51,Supplier 2,Bangalore,24,357,9,36.69,Pass,1.586,Air,Route A,414.16,Fall,1.1106976510181488
haircare,SKU32,31.37,83,77,2415.49,Non-binary,48,13,9,10,Carrier A,41.45,Supplier 1,Delhi,13,797,14,19.84,Pass,0.039,Road,Route A,284.03,Winter,1.2100404335540427
skincare,SKU12,23.39,121,101,2362.39,Male,48,10,42,5,Carrier C,88.97,Supplier 2,Delhi,10,605,8,37.99,Pass,0.614,Air,Route C,194.23,Summer,1.4997902264766183
haircare,SKU93,48.23,77,30,1446.9,Non-binary,65,18,7,7,Carrier E,11.97,Supplier 2,Bangalore,18,853,12,41.62,Pass,1.48,Rail,Route C,442.91,Spring,1.0867714516061262
haircare,SKU7,32.58,14,14,456.12,Male,12,25,14,9,Carrier A,18.52,Supplier 3,Bangalore,25,678,9,34.44,Fail,3.904,Road,Route B,397.1,Summer,1.3212359287897237
skincare,SKU82,43.35,47,18,780.3,Unknown,24,13,34,7,Carrier B,28.94,Supplier 1,Bangalore,13,288,6,18.23,Pending,4.934,Road,Route C,420.13,Spring,1.0893816974743116
haircare,SKU84,10.59,108,62,656.58,Male,32,25,27,10,Carrier B,23.28,Supplier 3,Bangalore,25,835,5,13.73,Pass,1.728,Road,Route B,356.72,Summer,1.3892047317108016
skincare,SKU93,48.02,88,27,1296.54,Unknown,59,23,37,6,Carrier A,41.69,Supplier 2,Bangalore,23,368,5,34.02,Fail,2.411,Road,Route B,119.79,Fall,1.1656176677433892
skincare,SKU84,97.78,74,3,293.34,Unknown,57,23,22,5,Carrier D,9.28,Supplier 1,Bangalore,23,160,5,39.62,Pass,0.055,Rail,Route B,389.58,Spring,0.821542609320916
haircare,SKU46,6.24,30,20,124.8,Non-binary,28,20,1,3,Carrier D,28.64,Supplier 3,Mumbai,20,380,16,22.21,Pass,0.277,Rail,Route B,355.41,Spring,0.9486829075037144
haircare,SKU93,20.45,200,147,3006.15,Female,163,8,40,9,Carrier B,48.3,Supplier 1,Delhi,8,381,8,47.32,Pass,1.897,Road,Route A,112.17,Summer,1.5363944311677329
haircare,SKU85,25.6,43,20,512.0,Female,21,22,5,5,Carrier B,16.03,Supplier 1,Delhi,22,334,6,37.64,Pass,0.594,Road,Route C,336.79,Winter,1.209789640478773
skincare,SKU39,93.64,65,21,1966.44,Non-binary,39,7,1,5,Carrier C,70.07,Supplier 1,Delhi,7,932,13,16.68,Pending,4.843,Air,Route A,493.17,Fall,0.9932148962243609
haircare,SKU37,40.99,182,92,3771.08,Unknown,158,14,16,1,Carrier C,33.81,Supplier 3,Mumbai,14,542,11,37.17,Pass,0.615,Air,Route B,155.69,Fall,0.9386432947381074
haircare,SKU62,8.7,97,70,609.0,Non-binary,60,11,37,4,Carrier C,52.15,Supplier 1,Delhi,11,885,12,38.53,Pass,0.409,Air,Route A,429.06,Summer,1.3826090226200254
haircare,SKU11,43.68,163,33,1441.44,Unknown,142,21,3,9,Carrier B,30.44,Supplier 3,Delhi,21,239,13,32.74,Pending,4.351,Road,Route B,116.4,Spring,0.9708182265333962
skincare,SKU27,71.49,51,40,2859.6,Female,37,26,24,10,Carrier B,40.41,Supplier 2,Bangalore,26,646,7,37.59,Pass,1.494,Road,Route B,417.36,Summer,1.5437760624532917
haircare,SKU63,41.46,110,16,663.36,Unknown,60,17,8,9,Carrier A,22.18,Supplier 2,Bangalore,17,868,6,46.2,Pass,1.113,Road,Route B,472.49,Fall,1.1206558008013712
haircare,SKU4,40.26,124,123,4951.98,Non-binary,85,17,1,2,Carrier C,14.49,Supplier 3,Delhi,17,438,14,19.08,Pass,1.318,Air,Route B,358.43,Fall,0.9123246001393345
haircare,SKU43,13.81,103,23,317.63,Unknown,62,24,5,2,Carrier C,71.08,Supplier 1,Mumbai,24,321,6,26.15,Pass,1.777,Air,Route C,311.09,Spring,0.8618440298967374
skincare,SKU37,42.61,39,13,553.93,Female,30,7,30,7,Carrier A,5.26,Supplier 3,Mumbai,7,853,14,25.76,Fail,3.255,Road,Route C,338.53,Summer,1.5806779446092252
skincare,SKU39,69.84,78,48,3352.32,Male,42,29,28,5,Carrier C,42.31,Supplier 3,Mumbai,29,637,11,21.71,Pass,1.458,Air,Route A,426.76,Summer,1.5128586325257192
haircare,SKU26,22.43,121,11,246.73,Male,53,9,40,7,Carrier A,9.26,Supplier 2,Delhi,9,355,18,42.8,Pass,0.012,Road,Route A,342.3,Fall,0.9704456474508865
skincare,SKU74,56.8,121,95,5396.0,Female,43,20,39,7,Carrier D,43.87,Supplier 3,Mumbai,20,375,10,27.45,Pending,3.72,Rail,Route C,321.37,Summer,1.46076493643673
haircare,SKU29,32.03,129,55,1761.65,Female,74,14,32,5,Carrier D,32.35,Supplier 3,Bangalore,14,738,17,12.82,Fail,3.862,Rail,Route C,414.37,Summer,1.3313746137225535
haircare,SKU92,13.13,187,21,275.73,Non-binary,170,17,19,2,Carrier C,33.66,Supplier 3,Bangalore,17,855,19,11.95,Pending,2.91,Air,Route B,345.17,Fall,1.0832158792136117
skincare,SKU8,88.66,87,64,5674.24,Female,49,15,33,3,Carrier C,44.13,Supplier 2,Bangalore,15,402,19,28.9,Pending,2.793,Air,Route C,300.45,Fall,0.9497706775972802
haircare,SKU81,14.8,174,44,651.2,Non-binary,10,19,45,6,Carrier B,17.84,Supplier 3,Delhi,19,849,11,17.83,Fail,3.461,Road,Route A,197.67,Summer,1.4048533230778555
skincare,SKU2,50.92,137,33,1680.36,Non-binary,130,21,25,4,Carrier C,63.55,Supplier 1,Mumbai,21,526,10,15.29,Pass,1.846,Air,Route B,305.02,Spring,1.0861238043132913
haircare,SKU59,40.83,53,49,2000.67,Non-binary,10,25,49,4,Carrier D,29.06,Supplier 1,Mumbai,25,683,5,44.74,Pass,1.878,Rail,Route C,235.75,Winter,1.3697733340725158
skincare,SKU90,46.69,69,21,980.49,Non-binary,32,13,5,9,Carrier B,19.2,Supplier 1,Delhi,13,208,20,48.64,Fail,4.495,Road,Route A,156.32,Fall,1.1987911134696994
skincare,SKU19,43.35,170,53,2297.55,Non-binary,26,10,25,6,Carrier D,30.1,Supplier 3,Delhi,10,561,11,31.01,Pass,0.995,Rail,Route A,320.47,Spring,1.026986893992571
skincare,SKU88,44.01,34,21,924.21,Non-binary,24,7,4,5,Carrier C,61.41,Supplier 1,Delhi,7,625,14,19.08,Fail,3.962,Air,Route B,276.6,Winter,1.4559643720712496
haircare,SKU42,21.08,134,9,189.72,Unknown,16,10,32,9,Carrier B,41.6,Supplier 2,Bangalore,10,859,11,12.66,Pending,3.529,Road,Route B,327.99,Winter,1.2740738167376402
skincare,SKU96,93.86,73,26,2440.36,Unknown,51,25,16,2,Carrier C,76.45,Supplier 3,Mumbai,25,748,6,41.89,Fail,2.701,Air,Route A,324.74,Winter,1.4351174341286077
haircare,SKU76,5.59,15,4,22.36,Female,10,20,14,10,Carrier B,31.23,Supplier 1,Mumbai,20,899,12,16.69,Pending,2.629,Road,Route A,145.25,Winter,1.2303420670656067
skincare,SKU12,60.45,185,78,4715.1,Male,55,7,41,5,Carrier A,24.79,Supplier 2,Mumbai,7,881,9,31.47,Pass,1.0,Road,Route A,198.03,Winter,1.4742582194689866
haircare,SKU19,38.38,100,36,1381.68,Unknown,60,20,36,7,Carrier E,30.96,Supplier 3,Delhi,20,554,15,47.78,Pending,4.074,Rail,Route A,289.89,Fall,1.011693429948393
haircare,SKU22,45.56,10,7,318.92,Male,10,15,4,5,Carrier E,10.19,Supplier 3,Bangalore,15,934,9,31.81,Pass,1.0,Rail,Route B,398.26,Summer,1.3245954823172004
haircare,SKU79,36.48,188,84,3064.32,Non-binary,149,25,45,6,Carrier A,9.33,Supplier 1,Delhi,25,269,14,43.63,Pending,2.87,Road,Route C,437.01,Fall,0.9612412922172731
haircare,SKU58,9.5,192,124,1178.0,Female,52,15,14,6,Carrier E,38.47,Supplier 1,Bangalore,15,943,15,23.44,Pass,1.468,Rail,Route A,474.23,Fall,0.9126907610135141
haircare,SKU48,38.2,170,121,4622.2,Non-binary,17,12,39,10,Carrier A,21.2,Supplier 2,Mumbai,12,217,16,28.78,Pending,4.889,Road,Route B,237.02,Fall,0.9193506593762966
haircare,SKU75,43.32,55,54,2339.28,Non-binary,54,15,10,8,Carrier B,20.0,Supplier 1,Delhi,15,902,5,20.13,Pass,1.738,Road,Route C,360.01,Summer,1.4545787604304992
haircare,SKU41,10.79,51,28,302.12,Male,22,25,40,7,Carrier B,42.18,Supplier 3,Delhi,25,634,16,18.59,Fail,4.079,Road,Route B,168.7,Fall,0.9873228643141634
skincare,SKU38,54.23,192,102,5531.46,Unknown,136,30,6,10,Carrier B,26.65,Supplier 2,Bangalore,30,397,17,15.58,Fail,2.292,Road,Route C,432.76,Fall,1.154202991223779
skincare,SKU77,65.41,31,8,523.28,Unknown,21,11,21,10,Carrier A,6.72,Supplier 3,Delhi,11,132,15,32.6,Pending,2.101,Road,Route A,367.67,Fall,1.0841971159923394
skincare,SKU52,91.15,178,85,7747.75,Non-binary,84,21,1,5,Carrier E,26.05,Supplier 3,Bangalore,21,589,9,11.19,Pass,1.91,Rail,Route B,233.5,Spring,1.0513410999117456
haircare,SKU36,35.9,154,42,1507.8,Unknown,64,13,24,8,Carrier B,19.03,Supplier 2,Bangalore,13,138,12,48.47,Fail,4.895,Road,Route B,371.38,Summer,1.3007837444584989
haircare,SKU74,17.72,92,45,797.4,Male,91,16,40,6,Carrier B,40.18,Supplier 1,Bangalore,16,823,5,37.49,Pass,0.961,Road,Route A,111.19,Summer,1.3612309175016526
haircare,SKU14,21.5,54,9,193.5,Non-binary,46,23,37,9,Carrier B,10.0,Supplier 1,Delhi,23,785,16,10.89,Fail,3.647,Road,Route B,238.8,Winter,1.454880062589568
haircare,SKU73,13.84,65,12,166.08,Female,65,14,31,4,Carrier E,24.23,Supplier 1,Mumbai,14,864,20,24.18,Fail,4.644,Rail,Route A,131.76,Summer,1.3098542143457261
haircare,SKU39,25.31,132,130,3290.3,Unknown,39,7,31,2,Carrier C,63.49,Supplier 2,Mumbai,7,742,11,10.22,Pass,0.144,Air,Route B,380.65,Summer,1.5574413876137174
skincare,SKU22,22.26,39,6,133.56,Male,33,14,3,10,Carrier A,7.01,Supplier 2,Bangalore,14,992,13,24.44,Pass,1.671,Road,Route A,436.06,Winter,1.4610064652347052
skincare,SKU74,48.9,174,50,2445.0,Male,89,10,28,9,Carrier B,6.04,Supplier 3,Mumbai,10,724,17,27.84,Pass,0.958,Road,Route C,121.81,Fall,0.9549001685774976
skincare,SKU44,77.88,12,7,545.16,Female,10,10,11,3,Carrier C,40.48,Supplier 2,Mumbai,10,442,16,47.27,Pending,2.23,Air,Route B,115.39,Spring,0.9698975111507029
skincare,SKU73,69.99,53,52,3639.48,Unknown,10,28,18,2,Carrier C,38.22,Supplier 3,Bangalore,28,876,5,20.41,Pending,3.63,Air,Route A,379.38,Fall,0.9342656105978465
haircare,SKU92,41.13,97,53,2179.89,Male,29,26,6,4,Carrier C,23.52,Supplier 1,Mumbai,26,712,18,39.73,Fail,3.685,Air,Route B,158.93,Fall,0.9508905856991359
skincare,SKU94,28.79,64,42,1209.18,Female,16,30,27,5,Carrier B,18.52,Supplier 2,Mumbai,30,189,9,43.97,Pending,3.111,Road,Route B,171.66,Summer,1.3669769782975414
skincare,SKU48,84.59,19,6,507.54,Non-binary,16,23,1,5,Carrier A,28.82,Supplier 1,Delhi,23,431,7,34.0,Pending,3.836,Road,Route C,116.95,Fall,1.0348920052348536
haircare,SKU9,29.22,51,21,613.62,Male,47,24,5,6,Carrier E,38.26,Supplier 2,Mumbai,24,574,5,11.3,Pending,3.432,Rail,Route B,209.95,Spring,1.0338684550198411
skincare,SKU100,27.34,29,5,136.7,Unknown,12,26,21,4,Carrier C,81.31,Supplier 1,Bangalore,26,329,10,20.52,Fail,2.13,Air,Route C,342.16,Fall,1.1042949847674166
haircare,SKU64,48.38,43,30,1451.4,Female,21,29,2,10,Carrier A,36.44,Supplier 1,Mumbai,29,408,18,38.52,Pass,0.137,Road,Route A,187.78,Winter,1.253110313699353
skincare,SKU33,34.94,176,83,2900.02,Non-binary,129,27,1,7,Carrier A,12.02,Supplier 3,Mumbai,27,153,12,23.3,Pending,2.079,Road,Route A,198.65,Fall,1.0483466455162231
haircare,SKU83,13.04,89,34,443.36,Male,30,8,25,7,Carrier B,45.04,Supplier 1,Delhi,8,666,19,39.57,Fail,4.801,Road,Route B,283.05,Summer,1.3114013815504786
haircare,SKU66,21.14,190,185,3910.9,Non-binary,49,9,1,8,Carrier B,49.04,Supplier 3,Mumbai,9,799,8,15.42,Fail,3.443,Road,Route A,449.52,Summer,1.4390190499295006
skincare,SKU4,81.01,144,49,3969.49,Female,96,28,2,8,Carrier A,19.99,Supplier 1,Delhi,28,195,6,35.63,Pass,1.448,Road,Route C,425.84,Winter,1.4592199215163797
skincare,SKU38,29.2,178,157,4584.4,Unknown,37,15,47,5,Carrier C,44.54,Supplier 1,Mumbai,15,628,11,11.46,Pass,0.129,Air,Route C,163.64,Fall,1.019468068536324
skincare,SKU91,61.28,91,85,5208.8,Unknown,15,14,13,7,Carrier E,34.78,Supplier 2,Delhi,14,151,7,10.94,Pass,1.431,Rail,Route C,324.31,Summer,1.4455871235828497
haircare,SKU62,27.75,48,14,388.5,Unknown,38,15,28,6,Carrier E,5.78,Supplier 1,Mumbai,15,578,11,20.92,Fail,3.208,Rail,Route B,412.38,Fall,1.1007357983356254
haircare,SKU71,38.06,40,22,837.32,Male,17,7,14,8,Carrier B,42.38,Supplier 1,Bangalore,7,482,12,46.67,Fail,2.378,Road,Route A,179.46,Summer,1.409960041656873
skincare,SKU91,72.37,70,35,2532.95,Male,64,10,44,6,Carrier B,34.01,Supplier 3,Bangalore,10,648,14,32.97,Pass,1.159,Road,Route B,245.28,Summer,1.5175002239863697
skincare,SKU88,28.36,174,70,1985.2,Male,24,9,11,5,Carrier C,64.16,Supplier 3,Bangalore,9,142,19,40.49,Pass,0.499,Air,Route A,317.26,Spring,0.8912262338371578
haircare,SKU84,22.86,157,35,800.1,Unknown,12,29,22,2,Carrier C,27.49,Supplier 1,Mumbai,29,723,16,24.17,Pass,0.742,Air,Route A,189.9,Summer,1.5761710176058417
skincare,SKU100,58.27,169,123,7167.21,Unknown,14,9,11,3,Carrier C,87.52,Supplier 3,Mumbai,9,912,5,44.12,Fail,2.895,Air,Route C,293.77,Fall,1.0316102828643403
skincare,SKU11,71.49,191,106,7577.94,Female,140,14,9,7,Carrier E,23.38,Supplier 2,Bangalore,14,766,11,46.14,Pending,3.172,Rail,Route C,497.61,Winter,1.2961438699527037
skincare,SKU0,38.16,102,4,152.64,Unknown,20,11,25,7,Carrier D,41.93,Supplier 1,Mumbai,11,144,9,14.05,Pending,3.131,Rail,Route B,465.7,Winter,1.2033197880060946
skincare,SKU47,82.79,154,25,2069.75,Female,14,29,3,7,Carrier B,44.93,Supplier 3,Mumbai,29,671,6,23.38,Pass,0.444,Road,Route A,279.12,Winter,1.4000639105607275
skincare,SKU33,36.74,120,49,1800.26,Male,46,9,49,2,Carrier C,66.72,Supplier 2,Mumbai,9,224,6,38.27,Fail,4.762,Air,Route A,427.13,Winter,1.2310152665283283
skincare,SKU61,74.85,27,14,1047.9,Unknown,13,7,20,6,Carrier A,29.13,Supplier 1,Delhi,7,893,16,28.5,Pass,0.695,Road,Route B,277.52,Spring,0.8227427786492081
skincare,SKU46,31.36,152,90,2822.4,Female,98,29,22,7,Carrier E,31.02,Supplier 3,Delhi,29,569,16,33.41,Pass,1.722,Rail,Route B,296.06,Spring,1.0937736246380882
skincare,SKU18,92.19,144,83,7651.77,Female,61,21,43,1,Carrier C,59.31,Supplier 1,Mumbai,21,133,10,49.7,Pass,0.071,Air,Route C,108.15,Winter,1.235953284302925
haircare,SKU8,14.44,115,11,158.84,Female,20,13,42,2,Carrier C,34.61,Supplier 1,Bangalore,13,530,14,24.98,Fail,4.765,Air,Route A,204.49,Summer,1.4277974236281246
haircare,SKU92,21.67,149,145,3142.15,Female,116,27,39,6,Carrier B,19.33,Supplier 3,Mumbai,27,726,9,24.99,Pass,1.388,Road,Route C,365.04,Fall,0.9896697007985732
skincare,SKU76,60.0,168,6,360.0,Female,148,9,10,1,Carrier C,95.4,Supplier 3,Delhi,9,702,19,26.2,Fail,4.044,Air,Route B,389.03,Winter,1.3859050371914645
skincare,SKU77,89.36,68,39,3485.04,Male,24,28,26,5,Carrier D,32.78,Supplier 3,Delhi,28,627,17,35.81,Fail,2.0,Rail,Route C,409.95,Winter,1.3576832146511326
haircare,SKU15,39.55,154,101,3994.55,Male,100,11,39,10,Carrier B,38.48,Supplier 3,Mumbai,11,668,16,14.26,Pass,0.406,Road,Route B,442.54,Winter,1.2534443707409944
skincare,SKU61,89.32,35,3,267.96,Female,12,19,16,1,Carrier C,94.01,Supplier 3,Bangalore,19,697,7,14.75,Pending,2.203,Air,Route B,217.48,Spring,0.9674238350689252
skincare,SKU58,81.96,36,2,163.92,Female,24,19,7,8,Carrier B,19.89,Supplier 1,Mumbai,19,742,5,43.45,Fail,2.551,Road,Route B,461.95,Spring,1.085533400432619
haircare,SKU22,35.03,96,1,35.03,Non-binary,59,24,30,4,Carrier C,39.06,Supplier 2,Delhi,24,817,16,15.26,Fail,4.102,Air,Route B,413.24,Winter,1.2429830282258816
skincare,SKU96,73.54,70,43,3162.22,Female,24,30,13,10,Carrier A,36.7,Supplier 3,Bangalore,30,395,6,13.04,Fail,2.11,Road,Route B,317.11,Fall,1.0315318351543152
haircare,SKU43,35.61,64,50,1780.5,Female,25,7,24,5,Carrier B,44.74,Supplier 3,Delhi,7,724,19,26.89,Pass,0.39,Road,Route B,204.7,Fall,1.1528850130410657
skincare,SKU63,28.36,91,3,85.08,Male,14,29,22,4,Carrier C,80.46,Supplier 1,Bangalore,29,305,16,38.15,Pass,0.537,Air,Route A,308.99,Fall,1.0213023619616692
haircare,SKU70,26.54,155,152,4034.08,Unknown,138,29,37,3,Carrier E,10.37,Supplier 3,Bangalore,29,772,13,15.95,Pass,1.799,Rail,Route C,365.4,Spring,0.8354123168922548
haircare,SKU33,46.58,60,4,186.32,Male,58,9,33,4,Carrier C,34.08,Supplier 3,Bangalore,9,314,11,49.37,Pending,3.68,Air,Route C,130.02,Winter,1.3739622420980064
skincare,SKU94,49.41,80,31,1531.71,Non-binary,61,9,40,2,Carrier C,44.79,Supplier 2,Mumbai,9,966,17,30.04,Pass,0.546,Air,Route C,430.91,Fall,0.9974292926510033
haircare,SKU96,48.99,67,18,881.82,Non-binary,44,11,18,5,Carrier C,78.46,Supplier 3,Mumbai,11,709,11,40.98,Pass,0.316,Air,Route C,287.64,Fall,1.1607011496840405
haircare,SKU42,40.12,92,39,1564.68,Unknown,28,9,33,6,Carrier B,5.47,Supplier 2,Mumbai,9,549,14,38.13,Pending,2.868,Road,Route A,237.91,Summer,1.5682382505215926
haircare,SKU66,43.6,14,13,566.8,Unknown,13,23,12,2,Carrier C,82.25,Supplier 1,Bangalore,23,602,16,46.0,Pending,4.477,Air,Route A,192.76,Winter,1.2573568142396478
skincare,SKU83,47.74,103,101,4821.74,Male,72,28,14,2,Carrier C,63.11,Supplier 2,Mumbai,28,472,10,15.82,Pending,3.24,Air,Route B,229.87,Fall,1.020955619044836
skincare,SKU37,89.17,133,124,11057.08,Non-binary,93,28,23,7,Carrier D,20.54,Supplier 3,Bangalore,28,761,9,28.4,Fail,2.635,Rail,Route C,337.53,Spring,1.0606603690553855
skincare,SKU46,77.13,193,66,5090.58,Female,191,12,31,5,Carrier C,86.42,Supplier 2,Delhi,12,544,5,39.68,Pending,4.013,Air,Route A,232.09,Spring,1.0175858569408907
haircare,SKU39,28.34,62,43,1218.62,Female,12,14,46,1,Carrier C,80.73,Supplier 3,Bangalore,14,513,20,13.16,Pass,0.553,Air,Route B,486.36,Fall,1.1799225413145917
haircare,SKU64,24.28,93,52,1262.56,Non-binary,58,13,30,6,Carrier E,38.99,Supplier 1,Delhi,13,260,6,43.45,Fail,3.775,Rail,Route A,295.75,Summer,1.4312737135231761
