Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs,Season,Demand Factor
haircare,SKU84,22.86,157,35.0,6.685985783221071,Unknown,2.5649493574615367,29,22,2,Carrier C,27.49,Supplier 1,Mumbai,723,16,24.17,Pass,0.742,Air,Route A,189.9,Summer,1.5761710176058417
skincare,SKU100,58.27,169,123.0,8.877411251100622,Unknown,2.70805020110221,9,11,3,Carrier C,87.52,Supplier 3,Mumbai,912,5,44.12,Fail,2.895,Air,Route C,293.77,Fall,1.0316102828643403
skincare,SKU11,71.49,191,106.0,8.933128627169003,Female,4.948759890378168,14,9,7,Carrier E,23.38,Supplier 2,Bangalore,766,11,46.14,Pending,3.172,Rail,Route C,497.61,Winter,1.2961438699527037
skincare,SKU0,38.16,102,4.0,5.034612203477704,Unknown,3.044522437723423,11,25,7,Carrier D,41.93,Supplier 1,Mumbai,144,9,14.05,Pending,3.131,Rail,Route B,465.7,Winter,1.2033197880060946
skincare,SKU47,82.79,154,25.0,7.635666139478373,Female,2.70805020110221,29,3,7,Carrier B,44.93,Supplier 3,Mumbai,671,6,23.38,Pass,0.444,Road,Route A,279.12,Winter,1.4000639105607275
skincare,SKU33,36.74,120,49.0,7.49624169899853,Male,3.8501476017100584,9,49,2,Carrier C,66.72,Supplier 2,Mumbai,224,6,38.27,Fail,4.762,Air,Route A,427.13,Winter,1.2310152665283285
skincare,SKU61,74.85,27,14.0,6.955497274967558,Unknown,2.6390573296152584,7,20,6,Carrier A,29.13,Supplier 1,Delhi,893,16,28.5,Pass,0.695,Road,Route B,277.52,Spring,0.8227427786492081
skincare,SKU46,31.36,152,90.0,7.945697111450099,Female,4.59511985013459,29,22,7,Carrier E,31.02,Supplier 3,Delhi,569,16,33.41,Pass,1.722,Rail,Route B,296.06,Spring,1.0937736246380882
skincare,SKU18,92.19,144,83.0,8.94282295278454,Female,4.127134385045092,21,43,1,Carrier C,59.31,Supplier 1,Mumbai,133,10,49.7,Pass,0.071,Air,Route C,108.15,Winter,1.235953284302925
haircare,SKU8,14.44,115,11.0,5.074173314900244,Female,3.044522437723423,13,42,2,Carrier C,34.61,Supplier 1,Bangalore,530,14,24.98,Fail,4.765,Air,Route A,204.49,Summer,1.4277974236281246
haircare,SKU92,21.67,149,145.0,8.052980760762166,Female,4.762173934797756,27,39,6,Carrier B,19.33,Supplier 3,Mumbai,726,9,24.99,Pass,1.388,Road,Route C,365.04,Fall,0.9896697007985732
skincare,SKU76,60.0,168,6.0,5.8888779583328805,Female,5.003946305945459,9,10,1,Carrier C,95.4,Supplier 3,Delhi,702,19,26.2,Fail,4.044,Air,Route B,389.03,Winter,1.3859050371914643
skincare,SKU77,89.36,68,39.0,8.156521700483442,Male,3.2188758248682006,28,26,5,Carrier D,32.78,Supplier 3,Delhi,627,17,35.81,Fail,2.0,Rail,Route C,409.95,Winter,1.3576832146511326
haircare,SKU15,39.55,154,101.0,8.292936520814555,Male,4.61512051684126,11,39,10,Carrier B,38.48,Supplier 3,Mumbai,668,16,14.26,Pass,0.406,Road,Route B,442.54,Winter,1.2534443707409944
skincare,SKU61,89.32,35,3.0,5.594562669660306,Female,2.5649493574615367,19,16,1,Carrier C,94.01,Supplier 3,Bangalore,697,7,14.75,Pending,2.203,Air,Route B,217.48,Spring,0.9674238350689252
skincare,SKU58,81.96,36,2.0,5.105460507838699,Female,3.2188758248682006,19,7,8,Carrier B,19.89,Supplier 1,Mumbai,742,5,43.45,Fail,2.551,Road,Route B,461.95,Spring,1.085533400432619
haircare,SKU22,35.03,96,1.0,3.5843519247600018,Non-binary,4.0943445622221,24,30,4,Carrier C,39.06,Supplier 2,Delhi,817,16,15.26,Fail,4.102,Air,Route B,413.24,Winter,1.2429830282258816
skincare,SKU96,73.54,70,43.0,8.059345775107543,Female,3.2188758248682006,30,13,10,Carrier A,36.7,Supplier 3,Bangalore,395,6,13.04,Fail,2.11,Road,Route B,317.11,Fall,1.0315318351543152
haircare,SKU43,35.61,64,50.0,7.4852109850458906,Female,3.258096538021482,7,24,5,Carrier B,44.74,Supplier 3,Delhi,724,19,26.89,Pass,0.39,Road,Route B,204.7,Fall,1.1528850130410655
skincare,SKU63,28.36,91,3.0,4.455277096413474,Male,2.70805020110221,29,22,4,Carrier C,80.46,Supplier 1,Bangalore,305,16,38.15,Pass,0.537,Air,Route A,308.99,Fall,1.0213023619616692
haircare,SKU70,26.54,155,152.0,8.302781407025474,Unknown,4.9344739331306915,29,37,3,Carrier E,10.37,Supplier 3,Bangalore,772,13,15.95,Pass,1.799,Rail,Route C,365.4,Spring,0.8354123168922548
haircare,SKU33,46.58,60,4.0,5.232818384315341,Male,4.07753744390572,9,33,4,Carrier C,34.08,Supplier 3,Bangalore,314,11,49.37,Pending,3.68,Air,Route C,130.02,Winter,1.3739622420980064
skincare,SKU94,49.41,80,31.0,7.334792689417584,Non-binary,4.127134385045092,9,40,2,Carrier C,44.79,Supplier 2,Mumbai,966,17,30.04,Pass,0.546,Air,Route C,430.91,Fall,0.9974292926510032
haircare,SKU96,48.99,67,18.0,6.783121329313994,Non-binary,3.8066624897703196,11,18,5,Carrier C,78.46,Supplier 3,Mumbai,709,11,40.98,Pass,0.316,Air,Route C,287.64,Fall,1.1607011496840405
haircare,SKU42,40.12,92,39.0,7.356075513396714,Unknown,3.367295829986474,9,33,6,Carrier B,5.47,Supplier 2,Mumbai,549,14,38.13,Pending,2.868,Road,Route A,237.91,Summer,1.5682382505215926
haircare,SKU66,43.6,14,13.0,6.341769244038871,Unknown,2.6390573296152584,23,12,2,Carrier C,82.25,Supplier 1,Bangalore,602,16,46.0,Pending,4.477,Air,Route A,192.76,Winter,1.2573568142396478
skincare,SKU83,47.74,103,101.0,8.481097510260069,Male,4.290459441148391,28,14,2,Carrier C,63.11,Supplier 2,Mumbai,472,10,15.82,Pending,3.24,Air,Route B,229.87,Fall,1.020955619044836
skincare,SKU37,89.17,133,124.0,9.217922868034115,Non-binary,4.543294782270004,28,23,7,Carrier D,20.54,Supplier 3,Bangalore,761,9,28.4,Fail,2.635,Rail,Route C,337.53,Spring,1.0606603690553855
skincare,SKU46,77.13,193,66.0,8.535343473950228,Female,5.197509960440374,12,31,5,Carrier C,86.42,Supplier 2,Delhi,544,5,39.68,Pending,4.013,Air,Route A,232.09,Spring,1.0175858569408909
haircare,SKU39,28.34,62,43.0,7.106294613798926,Female,2.5649493574615367,14,46,1,Carrier C,80.73,Supplier 3,Bangalore,513,20,13.16,Pass,0.553,Air,Route B,486.36,Fall,1.1799225413145915
haircare,SKU64,24.28,93,52.0,7.14168841283967,Non-binary,4.07753744390572,13,30,6,Carrier E,38.99,Supplier 1,Delhi,260,6,43.45,Fail,3.775,Rail,Route A,295.75,Summer,1.431273713523176
skincare,SKU1,74.78,198,1.0,4.327834405590455,Male,4.477336814478207,27,17,2,Carrier C,91.23,Supplier 1,Bangalore,508,14,37.28,Fail,2.125,Air,Route B,239.44,Spring,0.8409698872618103
skincare,SKU87,84.38,95,37.0,8.046568569394394,Female,4.465908118654584,30,17,8,Carrier A,5.77,Supplier 1,Delhi,414,19,42.49,Fail,4.415,Road,Route C,217.89,Spring,0.8238839339932574
skincare,SKU31,27.43,57,30.0,6.714049163321544,Female,3.367295829986474,25,39,1,Carrier C,71.1,Supplier 2,Bangalore,686,16,33.46,Pass,0.487,Air,Route A,400.76,Fall,0.9179128765980992
haircare,SKU46,11.58,34,22.0,5.544239504751586,Female,3.5263605246161616,11,15,7,Carrier A,35.07,Supplier 1,Mumbai,590,15,43.35,Pending,4.033,Road,Route B,235.3,Spring,0.86964030374849
skincare,SKU84,57.27,98,13.0,6.614068547931059,Unknown,3.5553480614894135,29,1,8,Carrier A,7.62,Supplier 3,Mumbai,672,12,49.53,Pass,1.256,Road,Route B,189.59,Spring,0.855901322769627
haircare,SKU4,33.19,186,1.0,3.5319332036512097,Non-binary,3.4965075614664802,20,25,10,Carrier A,19.46,Supplier 2,Mumbai,982,11,46.08,Fail,4.531,Road,Route C,408.16,Winter,1.4402906211985502
haircare,SKU83,42.77,86,68.0,7.975688404705632,Unknown,3.4657359027997265,16,12,5,Carrier E,27.01,Supplier 2,Delhi,300,17,33.37,Fail,4.068,Rail,Route C,463.58,Fall,0.9330626292023076
skincare,SKU84,29.32,133,93.0,7.911236038553601,Female,4.7535901911063645,25,16,4,Carrier D,7.69,Supplier 3,Delhi,512,7,10.13,Pass,1.57,Rail,Route A,363.35,Spring,0.881652592012161
haircare,SKU45,18.72,127,2.0,3.6490985841020915,Female,4.795790545596741,23,29,1,Carrier C,62.21,Supplier 1,Bangalore,280,6,18.37,Fail,4.774,Air,Route B,389.18,Fall,0.9465496194030444
haircare,SKU42,41.75,157,95.0,8.285828438442952,Female,4.477336814478207,11,16,4,Carrier D,15.8,Supplier 1,Mumbai,354,13,32.18,Pass,0.148,Rail,Route A,423.87,Winter,1.235167802802574
skincare,SKU69,86.03,162,134.0,9.217922868034115,Male,5.081404364984463,19,6,7,Carrier B,24.38,Supplier 1,Mumbai,893,8,46.1,Pending,2.187,Road,Route A,130.47,Winter,1.2868998582681606
haircare,SKU65,45.98,190,65.0,8.002928326902735,Non-binary,5.10594547390058,28,19,10,Carrier B,16.92,Supplier 1,Bangalore,816,12,40.69,Fail,4.506,Road,Route B,326.04,Spring,0.8520501278882247
haircare,SKU19,40.78,23,5.0,5.322522055244854,Non-binary,2.833213344056216,10,16,3,Carrier E,48.23,Supplier 1,Delhi,128,18,12.21,Pass,0.574,Rail,Route C,343.67,Summer,1.519218039392182
haircare,SKU36,49.56,20,12.0,6.389770758017667,Male,2.4849066497880004,16,7,10,Carrier B,33.51,Supplier 2,Bangalore,585,13,38.43,Fail,3.775,Road,Route B,243.11,Spring,0.9621851613866812
skincare,SKU74,59.25,19,19.0,7.027092661570758,Unknown,2.4849066497880004,26,1,3,Carrier E,31.05,Supplier 3,Bangalore,181,12,31.83,Pending,4.767,Rail,Route A,389.34,Fall,1.171036417086492
skincare,SKU87,73.56,49,34.0,7.824861678109294,Non-binary,3.58351893845611,15,14,8,Carrier B,40.18,Supplier 1,Delhi,668,12,14.93,Fail,2.9,Road,Route A,247.4,Spring,0.8028610617851314
skincare,SKU94,38.68,179,51.0,7.587655099456453,Female,4.718498871295094,30,39,5,Carrier D,15.54,Supplier 1,Mumbai,297,5,40.11,Fail,2.425,Rail,Route B,457.26,Spring,0.9224268837914624
haircare,SKU23,40.71,62,5.0,5.320812444375408,Male,4.060443010546419,21,20,7,Carrier E,9.96,Supplier 3,Bangalore,640,9,24.81,Fail,2.492,Rail,Route A,201.79,Summer,1.5642962011375157
skincare,SKU68,50.99,79,38.0,7.569731658728699,Non-binary,4.02535169073515,10,6,5,Carrier C,65.13,Supplier 3,Delhi,604,18,18.85,Pending,3.455,Air,Route C,213.6,Spring,1.060391023844607
haircare,SKU50,9.6,173,1.0,2.3608540011180215,Unknown,2.995732273553991,16,39,5,Carrier E,37.16,Supplier 3,Delhi,909,17,49.37,Pass,0.582,Rail,Route B,444.76,Spring,1.05613123073648
haircare,SKU65,14.65,63,40.0,6.375024819828097,Unknown,2.6390573296152584,21,15,5,Carrier B,46.5,Supplier 1,Mumbai,299,6,41.41,Pending,3.859,Road,Route C,130.4,Fall,1.0910236044447172
haircare,SKU10,48.86,140,137.0,8.809089372028222,Non-binary,4.948759890378168,15,25,7,Carrier A,5.08,Supplier 3,Mumbai,457,14,49.51,Pending,2.989,Road,Route C,224.19,Winter,1.411382277928206
skincare,SKU10,72.48,156,99.0,8.878569864881376,Female,5.0369526024136295,17,15,5,Carrier C,12.43,Supplier 3,Delhi,590,8,25.26,Pending,3.987,Air,Route C,176.7,Winter,1.34578291344539
skincare,SKU40,71.67,131,89.0,8.760865380926727,Non-binary,2.995732273553991,18,28,6,Carrier A,37.08,Supplier 3,Mumbai,177,13,11.0,Fail,4.519,Road,Route B,424.5,Spring,0.9290735877683566
skincare,SKU58,90.39,91,39.0,8.167978918756654,Female,3.8501476017100584,30,14,9,Carrier B,9.69,Supplier 1,Bangalore,530,20,39.98,Pending,4.063,Road,Route A,148.85,Winter,1.3946935989395592
haircare,SKU56,8.79,120,55.0,6.1830142268310135,Female,4.77912349311153,12,50,7,Carrier B,44.75,Supplier 2,Mumbai,271,8,42.5,Pending,3.108,Road,Route C,268.93,Fall,0.9925275920642572
skincare,SKU45,69.66,78,67.0,8.448533121687495,Male,4.219507705176107,29,3,9,Carrier A,6.42,Supplier 2,Mumbai,802,6,26.7,Pending,3.808,Road,Route C,216.18,Fall,0.9719147082664794
skincare,SKU8,20.76,189,102.0,7.658473010664015,Male,4.189654742026425,22,18,7,Carrier E,6.44,Supplier 2,Delhi,268,7,41.37,Pass,0.785,Rail,Route A,269.92,Winter,1.32041587904478
skincare,SKU96,54.56,80,22.0,7.091176231219393,Unknown,4.127134385045092,11,49,4,Carrier C,93.61,Supplier 3,Delhi,913,18,26.06,Pass,1.541,Air,Route C,212.71,Fall,1.0941865541957672
skincare,SKU48,89.36,118,111.0,9.202304168012724,Female,4.1588830833596715,23,40,4,Carrier D,44.48,Supplier 2,Mumbai,755,5,19.73,Fail,3.77,Rail,Route B,221.92,Spring,0.971768364568603
skincare,SKU12,30.05,187,90.0,7.9030420170827895,Male,3.7612001156935624,16,48,7,Carrier E,20.47,Supplier 2,Bangalore,672,18,21.24,Pass,0.752,Rail,Route B,349.24,Spring,0.8820012801038961
skincare,SKU34,74.55,67,14.0,6.951485041843462,Unknown,4.189654742026425,25,29,4,Carrier C,55.09,Supplier 2,Mumbai,937,6,38.39,Fail,3.607,Air,Route C,494.04,Spring,0.9997790518089468
haircare,SKU100,14.39,59,37.0,6.279327853135966,Male,2.70805020110221,7,22,2,Carrier C,51.4,Supplier 3,Delhi,612,5,13.02,Pass,0.829,Air,Route A,448.07,Spring,0.8810230757743344
haircare,SKU93,27.95,23,10.0,5.636573724962751,Male,2.3978952727983707,25,16,7,Carrier A,40.64,Supplier 1,Bangalore,563,9,26.79,Pending,4.164,Road,Route B,358.08,Spring,0.8723879394466254
haircare,SKU94,23.0,29,29.0,6.504288173536645,Non-binary,3.1354942159291497,21,9,5,Carrier C,84.75,Supplier 1,Delhi,425,14,14.26,Pass,1.734,Air,Route A,464.1,Spring,0.981001853609138
skincare,SKU74,36.23,103,82.0,7.996943298402406,Non-binary,3.713572066704308,25,12,5,Carrier C,55.37,Supplier 3,Delhi,783,19,37.79,Pending,3.099,Air,Route C,423.3,Winter,1.495242042555349
haircare,SKU81,31.69,65,52.0,7.407851548535042,Non-binary,4.189654742026425,16,40,4,Carrier D,17.61,Supplier 2,Bangalore,335,8,20.03,Pass,1.66,Rail,Route C,350.8,Fall,0.9866527946363972
haircare,SKU24,23.58,199,58.0,7.221572825038544,Unknown,5.197509960440374,23,35,6,Carrier B,12.85,Supplier 3,Delhi,482,7,43.08,Fail,4.451,Road,Route A,490.4,Fall,1.0267519891038297
skincare,SKU87,82.03,122,29.0,7.774801143324954,Non-binary,3.091042453358316,10,2,7,Carrier E,24.13,Supplier 1,Mumbai,512,7,45.51,Pending,3.035,Rail,Route B,438.55,Winter,1.306122265740127
haircare,SKU39,14.15,67,26.0,5.91052560460263,Unknown,3.8918202981106265,28,12,3,Carrier C,14.98,Supplier 1,Mumbai,508,7,31.1,Fail,2.523,Air,Route A,174.0,Spring,0.9442725150591164
skincare,SKU29,95.03,121,24.0,7.732684823507332,Non-binary,4.418840607796598,10,28,7,Carrier E,5.35,Supplier 3,Bangalore,905,13,25.27,Pass,1.532,Rail,Route A,423.02,Fall,0.9720384202155166
skincare,SKU46,74.69,189,159.0,9.217922868034115,Unknown,5.087596335232384,12,45,5,Carrier E,10.83,Supplier 2,Bangalore,838,12,13.69,Fail,3.021,Rail,Route B,485.12,Spring,0.8147740538953852
haircare,SKU7,44.96,82,10.0,6.110580027998144,Male,4.04305126783455,20,19,6,Carrier E,7.27,Supplier 1,Bangalore,483,15,24.3,Pending,2.787,Rail,Route B,215.05,Summer,1.5131855644347971
haircare,SKU7,30.06,104,16.0,6.1778611230550755,Female,4.060443010546419,19,30,4,Carrier C,28.27,Supplier 2,Delhi,488,18,24.27,Pending,2.495,Air,Route B,445.1,Summer,1.527063877275305
skincare,SKU48,25.27,191,144.0,8.199705993054394,Female,3.8066624897703196,19,43,5,Carrier D,10.4,Supplier 3,Mumbai,968,18,46.23,Pass,0.629,Rail,Route B,259.33,Winter,1.463129964342408
skincare,SKU98,40.6,31,24.0,6.882847643275952,Female,3.2188758248682006,21,5,6,Carrier D,39.75,Supplier 1,Bangalore,692,14,49.48,Pass,1.259,Rail,Route A,170.59,Summer,1.333701941435642
haircare,SKU68,45.62,108,20.0,6.817173900750898,Unknown,4.6443908991413725,18,27,5,Carrier A,46.97,Supplier 2,Mumbai,870,8,17.6,Pass,1.39,Road,Route C,428.98,Spring,0.9590160240222751
skincare,SKU58,74.42,62,59.0,8.387489890860085,Male,3.6375861597263857,16,45,3,Carrier E,14.39,Supplier 2,Delhi,412,17,46.58,Fail,3.038,Rail,Route A,215.13,Summer,1.5903686517679296
skincare,SKU50,32.54,65,11.0,5.883155243601131,Male,4.02535169073515,30,36,4,Carrier D,30.46,Supplier 1,Delhi,624,7,39.08,Pending,2.821,Rail,Route B,255.45,Spring,0.9014903844167812
haircare,SKU93,23.94,115,28.0,6.509245923439979,Unknown,2.9444389791664403,21,39,4,Carrier C,24.62,Supplier 1,Bangalore,852,7,24.38,Pending,3.172,Air,Route A,254.15,Spring,0.8738974989491495
haircare,SKU20,18.38,65,54.0,6.901254192639777,Female,3.9889840465642745,22,25,3,Carrier C,91.69,Supplier 1,Bangalore,344,5,43.6,Pending,2.385,Air,Route A,329.93,Spring,0.8457531356693928
haircare,SKU10,30.93,110,6.0,5.228860101532815,Unknown,4.04305126783455,23,20,4,Carrier C,12.38,Supplier 2,Mumbai,420,13,21.07,Pass,1.28,Air,Route C,299.47,Winter,1.2741742048227251
skincare,SKU22,31.7,186,93.0,7.989255318040284,Female,3.7376696182833684,24,1,3,Carrier C,55.46,Supplier 1,Delhi,625,11,30.07,Pass,0.321,Air,Route B,429.36,Summer,1.5747593247556986
skincare,SKU25,26.25,197,82.0,7.674849704494165,Male,3.295836866004329,8,9,5,Carrier C,77.59,Supplier 3,Bangalore,799,9,23.49,Pass,0.19,Air,Route A,475.85,Fall,0.9627163032403956
haircare,SKU1,47.76,42,30.0,7.268083541418772,Non-binary,3.6375861597263857,15,25,2,Carrier C,79.34,Supplier 1,Mumbai,169,19,11.13,Fail,4.266,Air,Route B,278.45,Spring,0.95244732930328
haircare,SKU23,13.66,188,48.0,6.487196837426318,Non-binary,4.976733742420574,20,26,5,Carrier D,39.28,Supplier 1,Delhi,936,7,44.27,Pending,3.894,Rail,Route B,246.79,Summer,1.3754785363252724
haircare,SKU24,16.95,10,8.0,4.91705694713669,Non-binary,2.3978952727983707,10,1,9,Carrier A,22.52,Supplier 1,Delhi,193,13,41.61,Pending,4.265,Road,Route B,445.62,Winter,1.2800545940287134
haircare,SKU20,25.57,114,63.0,7.385175090242442,Non-binary,3.4339872044851463,24,39,5,Carrier C,86.69,Supplier 2,Mumbai,233,17,36.03,Pending,4.13,Air,Route A,377.23,Summer,1.5759018078026172
skincare,SKU63,96.79,16,16.0,7.345777924872695,Non-binary,2.6390573296152584,28,6,6,Carrier E,23.0,Supplier 1,Mumbai,907,12,22.71,Pending,2.534,Rail,Route A,431.53,Summer,1.3051152534670227
haircare,SKU70,29.93,96,4.0,4.793473814459594,Male,3.6109179126442243,15,20,2,Carrier C,80.67,Supplier 2,Delhi,115,16,39.03,Pending,4.411,Air,Route C,260.71,Spring,0.8095289896363822
haircare,SKU73,41.37,191,19.0,6.668266367131791,Female,4.110873864173311,20,40,7,Carrier A,43.34,Supplier 3,Mumbai,908,17,35.6,Pending,2.196,Road,Route A,200.98,Spring,1.0611246353144173
haircare,SKU23,11.8,50,12.0,4.960043507980195,Non-binary,3.6109179126442243,19,12,7,Carrier E,39.56,Supplier 1,Delhi,263,10,20.35,Pass,1.054,Rail,Route B,496.56,Spring,0.9114879906055792
skincare,SKU95,42.63,166,48.0,7.624247823537074,Unknown,3.970291913552122,20,47,6,Carrier D,18.76,Supplier 1,Bangalore,806,8,17.96,Pass,0.888,Rail,Route B,489.13,Winter,1.2611451238871292
skincare,SKU97,33.96,105,18.0,6.417189694223507,Female,2.772588722239781,22,4,7,Carrier D,49.25,Supplier 3,Mumbai,250,12,40.96,Fail,4.629,Rail,Route C,274.21,Winter,1.2645103995606473
skincare,SKU41,81.6,126,6.0,6.195629131824389,Female,4.48863636973214,18,36,10,Carrier B,49.35,Supplier 1,Mumbai,534,19,39.73,Pending,2.961,Road,Route B,309.93,Spring,0.9216648212428282
haircare,SKU12,29.68,151,12.0,5.878183860649016,Male,4.969813299576001,26,20,5,Carrier A,42.78,Supplier 1,Mumbai,765,19,48.33,Fail,2.572,Road,Route B,154.74,Winter,1.2537772996894148
haircare,SKU82,5.06,167,43.0,5.387152080248527,Non-binary,3.6888794541139363,8,18,5,Carrier B,42.26,Supplier 1,Bangalore,721,5,25.84,Fail,4.099,Road,Route B,200.29,Fall,1.18001255122567
skincare,SKU65,29.83,27,18.0,6.2877470297789335,Female,3.1354942159291497,25,9,5,Carrier D,26.19,Supplier 3,Bangalore,146,20,40.1,Pending,3.768,Rail,Route B,283.48,Summer,1.3597940465473302
skincare,SKU66,59.5,138,17.0,6.920177798980694,Female,4.653960350157523,20,15,7,Carrier D,17.55,Supplier 3,Mumbai,254,15,18.33,Pass,1.558,Rail,Route A,397.09,Fall,1.044996942385744
skincare,SKU70,45.31,129,45.0,7.62068057673397,Unknown,4.110873864173311,21,7,8,Carrier A,41.79,Supplier 2,Delhi,975,18,34.28,Fail,4.442,Road,Route B,208.88,Winter,1.337415280092725
skincare,SKU46,89.9,124,110.0,9.199279424616758,Non-binary,4.174387269895637,29,48,3,Carrier C,99.9,Supplier 3,Bangalore,773,9,31.74,Fail,2.632,Air,Route A,191.67,Spring,0.8974583508860259
skincare,SKU9,78.01,189,166.0,9.217922868034115,Female,4.948759890378168,26,21,1,Carrier C,13.25,Supplier 3,Mumbai,389,14,37.43,Fail,4.772,Air,Route C,148.08,Winter,1.434584329975446
skincare,SKU7,94.92,185,148.0,9.217922868034115,Male,5.197509960440374,17,42,3,Carrier D,47.43,Supplier 1,Bangalore,889,7,19.5,Fail,3.488,Rail,Route C,163.45,Spring,0.9898951460613132
haircare,SKU71,26.64,21,3.0,4.393461012299545,Male,2.6390573296152584,27,7,5,Carrier A,28.96,Supplier 2,Delhi,512,17,30.25,Pass,0.247,Road,Route B,411.35,Summer,1.3891156078356786
skincare,SKU81,28.43,118,100.0,7.952966790923131,Unknown,4.6913478822291435,22,3,5,Carrier C,40.52,Supplier 3,Delhi,177,6,23.01,Fail,3.187,Air,Route A,237.95,Spring,1.0353196410170658
haircare,SKU35,10.5,91,23.0,5.491001710377538,Female,3.7612001156935624,7,3,2,Carrier C,10.58,Supplier 3,Delhi,685,15,13.68,Fail,2.429,Air,Route C,497.84,Winter,1.374614513156415
haircare,SKU54,24.03,124,76.0,7.5105838013403785,Female,4.0943445622221,12,36,6,Carrier B,6.96,Supplier 2,Bangalore,189,6,24.76,Pending,2.953,Road,Route A,492.71,Fall,0.9709245917692764
haircare,SKU86,44.78,161,151.0,8.819189327103496,Non-binary,3.871201010907891,12,32,7,Carrier E,17.57,Supplier 2,Bangalore,307,5,20.96,Fail,4.681,Rail,Route C,448.36,Spring,1.0719371951808505
haircare,SKU15,49.93,77,76.0,8.241618856914055,Female,3.784189633918261,14,14,1,Carrier C,86.83,Supplier 3,Delhi,236,14,29.9,Fail,3.499,Air,Route B,149.63,Winter,1.3591579434917354
haircare,SKU93,19.2,16,8.0,5.040841136153322,Male,2.772588722239781,11,7,5,Carrier C,37.04,Supplier 3,Mumbai,822,18,11.45,Pass,1.79,Air,Route A,351.09,Summer,1.3878100221585046
haircare,SKU25,18.97,41,36.0,6.5278409517179785,Female,3.5263605246161616,30,31,9,Carrier B,18.1,Supplier 3,Delhi,936,19,21.02,Pending,2.984,Road,Route C,158.34,Spring,0.8542400345597942
skincare,SKU73,30.11,145,36.0,6.989298398935532,Male,4.61512051684126,12,49,6,Carrier D,31.95,Supplier 2,Bangalore,615,9,23.35,Fail,4.851,Rail,Route A,363.62,Spring,0.8212032197547734
haircare,SKU47,22.07,59,37.0,6.706360988454876,Non-binary,2.833213344056216,10,30,6,Carrier A,15.16,Supplier 1,Bangalore,752,15,37.12,Pass,1.666,Road,Route C,227.23,Spring,0.8101193854788867
skincare,SKU99,93.25,120,49.0,8.427323186987195,Unknown,4.61512051684126,19,45,9,Carrier B,8.85,Supplier 2,Mumbai,292,10,43.06,Fail,2.092,Road,Route A,263.71,Summer,1.5345260168960246
skincare,SKU89,49.86,91,80.0,8.29149638331431,Non-binary,4.143134726391533,13,19,6,Carrier A,15.58,Supplier 3,Mumbai,372,12,16.19,Pending,2.109,Road,Route A,364.46,Fall,1.0421542847945366
haircare,SKU6,40.08,154,74.0,7.995279656664752,Unknown,4.955827057601261,7,32,1,Carrier C,17.66,Supplier 3,Delhi,505,20,48.58,Fail,2.078,Air,Route A,463.03,Winter,1.251864811390949
skincare,SKU3,67.32,18,5.0,5.821861762721802,Female,2.6390573296152584,28,9,5,Carrier A,27.01,Supplier 2,Bangalore,660,14,18.94,Pass,1.302,Road,Route A,440.71,Winter,1.3815382685425457
haircare,SKU4,12.88,158,46.0,6.386003515082593,Male,4.276666119016055,14,16,5,Carrier D,22.66,Supplier 1,Bangalore,281,18,14.84,Pending,4.129,Rail,Route A,471.34,Fall,0.9528160559681004
haircare,SKU19,12.43,190,86.0,6.975395235692477,Unknown,3.7612001156935624,28,29,6,Carrier E,17.19,Supplier 1,Bangalore,518,5,15.84,Fail,2.57,Rail,Route B,128.3,Fall,1.088385519615041
haircare,SKU73,29.18,19,6.0,5.170938437218206,Unknown,2.3978952727983707,23,16,8,Carrier A,30.92,Supplier 3,Delhi,871,16,48.0,Pass,1.288,Road,Route B,361.33,Winter,1.2487335362231866
haircare,SKU98,26.69,55,30.0,6.686734473048906,Male,2.5649493574615367,30,20,5,Carrier D,11.93,Supplier 2,Delhi,541,20,48.43,Pass,1.602,Rail,Route B,422.84,Spring,0.942304629044796
haircare,SKU40,45.77,66,59.0,7.90153654141778,Female,3.6375861597263857,19,17,5,Carrier E,39.87,Supplier 1,Delhi,765,20,27.74,Pending,2.845,Rail,Route B,107.67,Winter,1.404655238247196
skincare,SKU40,80.26,110,30.0,7.786883977167524,Unknown,3.8918202981106265,11,20,3,Carrier E,30.03,Supplier 1,Mumbai,932,8,15.39,Fail,4.235,Rail,Route B,164.79,Winter,1.3721785499038577
skincare,SKU85,65.23,157,4.0,5.568039113622825,Female,4.007333185232471,12,35,5,Carrier C,56.16,Supplier 2,Delhi,762,16,49.46,Fail,2.901,Air,Route B,308.41,Fall,1.137583862713079
skincare,SKU39,96.67,97,52.0,8.522745747405882,Non-binary,4.532599493153256,13,44,3,Carrier C,77.28,Supplier 2,Delhi,109,11,20.74,Pass,0.722,Air,Route C,228.26,Summer,1.3423486457972955
haircare,SKU61,23.87,81,27.0,6.470009718299927,Male,3.871201010907891,13,6,5,Carrier E,26.27,Supplier 2,Bangalore,872,17,27.1,Pass,1.607,Rail,Route C,247.82,Winter,1.3926872493792029
